radius_um,wavelength_nm,theta_deg,intensity
5.0,400.0,172.0,4.403532786614685e-05
5.0,400.0,173.0,9.117892985588173e-05
5.0,400.0,174.0,5.863732531439566e-05
5.0,400.0,175.0,7.177792679828018e-05
5.0,400.0,176.0,4.78767869918565e-05
5.0,400.0,177.0,0.00015617100432006815
5.0,400.0,178.0,0.00015851553422128637
5.0,400.0,179.0,0.00017654528348986874
5.0,400.0,180.0,0.0006610731285035558
5.0,410.0,0.0,1.0
5.0,410.0,1.0,0.5929264762904556
5.0,410.0,2.0,0.07669983242254855
5.0,410.0,3.0,0.01236068941157817
5.0,410.0,4.0,0.029558993050183464
5.0,410.0,5.0,0.002482092607749946
5.0,410.0,6.0,0.0032215424031557575
5.0,410.0,7.0,0.003648745370350038
5.0,410.0,8.0,0.0039479230593815196
5.0,410.0,9.0,0.0013222266226247555
5.0,410.0,10.0,0.0028105398517524255
5.0,410.0,11.0,0.005197423890163984
5.0,410.0,12.0,0.0017618703535636781
5.0,410.0,13.0,0.000858334457020245
5.0,410.0,14.0,0.0024037702761774676
5.0,410.0,15.0,0.001956303527152932
5.0,410.0,16.0,0.0008437122057335542
5.0,410.0,17.0,0.0023208312610101187
5.0,410.0,18.0,0.0022078168462032356
5.0,410.0,19.0,0.0009828813930299718
5.0,410.0,20.0,0.0018792825583102538
5.0,410.0,21.0,0.001550423529043305
5.0,410.0,22.0,0.0007122938321077246
5.0,410.0,23.0,0.0013739954195252989
5.0,410.0,24.0,0.0010857232110957815
5.0,410.0,25.0,0.0006633858969621187
5.0,410.0,26.0,0.0012749790916925879
5.0,410.0,27.0,0.0008938886443734894
5.0,410.0,28.0,0.0007492478854186608
5.0,410.0,29.0,0.0011152119268152429
5.0,410.0,30.0,0.0006441870070062454
5.0,410.0,31.0,0.0007607344964583598
5.0,410.0,32.0,0.0008696031347392829
5.0,410.0,33.0,0.0004552114205687402
5.0,410.0,34.0,0.0006846388881854098
5.0,410.0,35.0,0.0005587661624912326
5.0,410.0,36.0,0.00037409722727278517
5.0,410.0,37.0,0.0006119289395192854
5.0,410.0,38.0,0.0003242654327794343
5.0,410.0,39.0,0.00037942163951153857
