alpha_deg,red_650nm,green_550nm,blue_450nm,white_sum
5.7,1.11976,1.10538,0.471327,2.69647
5.75,1.10856,1.05055,0.421235,2.58035
5.8,1.08791,0.995471,0.382107,2.46548
5.85,1.05657,0.94568,0.354009,2.35626
5.9,1.01514,0.904778,0.334276,2.25419
5.95,0.96587,0.87385,0.318562,2.15828
6,0.912228,0.851348,0.302479,2.06606
6.05,0.85815,0.833413,0.283308,1.97487
6.1,0.807295,0.81471,0.261179,1.88318
6.15,0.762388,0.789812,0.239117,1.79132
6.2,0.724779,0.75478,0.221865,1.70142
6.25,0.69429,0.708395,0.214003,1.61669
6.3,0.669339,0.652468,0.218228,1.54003
6.35,0.647319,0.59112,0.234469,1.47291
6.4,0.625155,0.529409,0.260062,1.41463
6.45,0.599932,0.471943,0.290769,1.36264
6.5,0.569468,0.421943,0.322304,1.31372
6.55,0.53274,0.380867,0.351877,1.26548
6.6,0.490043,0.348391,0.3792,1.21763
6.65,0.442887,0.322589,0.40647,1.17195
6.7,0.39365,0.300342,0.437268,1.13126
6.75,0.345074,0.278099,0.47487,1.09804
6.8,0.299722,0.252931,0.520761,1.07341
6.85,0.259515,0.223533,0.573953,1.057
6.9,0.225426,0.190672,0.631281,1.04738
6.95,0.197402,0.156824,0.688452,1.04268
7,0.174515,0.125185,0.741485,1.04118
7.05,0.155288,0.0986129,0.788034,1.04193
7.1,0.138121,0.0789783,0.828107,1.04521
7.15,0.1217,0.0670598,0.863815,1.05258
7.2,0.105283,0.0627439,0.898248,1.06627
7.25,0.0887962,0.0652128,0.934004,1.08801
7.3,0.0727556,0.0730356,0.972027,1.11782
7.35,0.0580381,0.084344,1.01113,1.15351
7.4,0.0456083,0.0972779,1.04827,1.19116
7.45,0.0362683,0.110621,1.07942,1.22631
7.5,0.0304836,0.124269,1.1008,1.25556
7.55,0.0283071,0.13919,1.11019,1.27768
7.6,0.0294028,0.156848,1.10767,1.29392
7.65,0.0331658,0.178475,1.09553,1.30717
7.7,0.0389271,0.204639,1.07723,1.32079
7.75,0.0462104,0.2353,1.05604,1.33755
7.8,0.054972,0.27014,1.03405,1.35916
7.85,0.065731,0.308755,1.01166,1.38615
7.9,0.0795077,0.350547,0.987645,1.4177
7.95,0.0975448,0.394458,0.95946,1.45146
8,0.120881,0.438939,0.924098,1.48392
8.05,0.149919,0.482312,0.879285,1.51152
8.1,0.184147,0.523337,0.824629,1.53211
8.15,0.222128,0.561576,0.762083,1.54579
8.2,0.261755,0.597286,0.695441,1.55448
8.25,0.300683,0.63099,0.629245,1.56092
8.3,0.3368,0.663081,0.56771,1.56759
8.35,0.368614,0.693773,0.513905,1.57629
8.4,0.395517,0.723285,0.469089,1.58789
8.45,0.417901,0.751928,0.432239,1.60207
8.5,0.43714,0.779825,0.400173,1.61714
8.55,0.455421,0.806399,0.368696,1.63052
8.6,0.475373,0.830063,0.334482,1.63992
8.65,0.499498,0.848485,0.296758,1.64474
8.7,0.5295,0.859379,0.257882,1.64676
8.75,0.565676,0.861367,0.222708,1.64975
8.8,0.606611,0.854409,0.197222,1.65824
8.85,0.649334,0.839628,0.186919,1.67588
8.9,0.689911,0.818798,0.195104,1.70381
8.95,0.72433,0.793904,0.221398,1.73963
9,0.749366,0.766912,0.261163,1.77744
9.05,0.763201,0.739604,0.30661,1.80941
